period_id,metric_key,status,reason,source_page,source_hash
2021Q1,depreciation_amortization,not_separately_reported,"El estado trimestral publica rentas, depreciación y amortización agrupadas; no se reparte el total.",10,9a46d6c158f953975c4feb4c25207f3639788d14fde46e93b63ae4c10a20e1cd
2021Q1,aircraft_leasing_expense,not_separately_reported,"El estado trimestral publica rentas, depreciación y amortización agrupadas; no se reparte el total.",10,9a46d6c158f953975c4feb4c25207f3639788d14fde46e93b63ae4c10a20e1cd
2021Q1,adjusted_ebitdar,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,3,9a46d6c158f953975c4feb4c25207f3639788d14fde46e93b63ae4c10a20e1cd
2021Q1,ebitdar_margin,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,3,9a46d6c158f953975c4feb4c25207f3639788d14fde46e93b63ae4c10a20e1cd
2021Q2,depreciation_amortization,not_separately_reported,"El estado trimestral publica rentas, depreciación y amortización agrupadas; no se reparte el total.",13,98a5e97a242ca40b2cd986d7f7119b368e7e2a779781012cbc9f82983915ed53
2021Q2,aircraft_leasing_expense,not_separately_reported,"El estado trimestral publica rentas, depreciación y amortización agrupadas; no se reparte el total.",13,98a5e97a242ca40b2cd986d7f7119b368e7e2a779781012cbc9f82983915ed53
2021Q2,adjusted_ebitdar,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,5,98a5e97a242ca40b2cd986d7f7119b368e7e2a779781012cbc9f82983915ed53
2021Q2,ebitdar_margin,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,5,98a5e97a242ca40b2cd986d7f7119b368e7e2a779781012cbc9f82983915ed53
2021Q3,depreciation_amortization,not_separately_reported,"El estado trimestral publica rentas, depreciación y amortización agrupadas; no se reparte el total.",13,ff9da52112360321c4ed0ea987a20ca06d5a46f4070c8b6cb9c35e5a5c1dd1ae
2021Q3,aircraft_leasing_expense,not_separately_reported,"El estado trimestral publica rentas, depreciación y amortización agrupadas; no se reparte el total.",13,ff9da52112360321c4ed0ea987a20ca06d5a46f4070c8b6cb9c35e5a5c1dd1ae
2021Q3,adjusted_ebitdar,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,5,ff9da52112360321c4ed0ea987a20ca06d5a46f4070c8b6cb9c35e5a5c1dd1ae
2021Q3,ebitdar_margin,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,5,ff9da52112360321c4ed0ea987a20ca06d5a46f4070c8b6cb9c35e5a5c1dd1ae
2021Q4,depreciation_amortization,not_separately_reported,"El estado trimestral publica rentas, depreciación y amortización agrupadas; no se reparte el total.",14,fa897e5530c5bfd7863d54b2ddc30058dbc54ad7d6f56d775270ea469e4b2d7d
2021Q4,aircraft_leasing_expense,not_separately_reported,"El estado trimestral publica rentas, depreciación y amortización agrupadas; no se reparte el total.",14,fa897e5530c5bfd7863d54b2ddc30058dbc54ad7d6f56d775270ea469e4b2d7d
2021Q4,adjusted_ebitdar,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,6,fa897e5530c5bfd7863d54b2ddc30058dbc54ad7d6f56d775270ea469e4b2d7d
2021Q4,ebitdar_margin,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,6,fa897e5530c5bfd7863d54b2ddc30058dbc54ad7d6f56d775270ea469e4b2d7d
2021Q4,cask_ex_fuel,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,6,fa897e5530c5bfd7863d54b2ddc30058dbc54ad7d6f56d775270ea469e4b2d7d
2022Q1,depreciation_amortization,not_separately_reported,"El estado trimestral publica rentas, depreciación y amortización agrupadas; no se reparte el total.",12,9881205641368873edd131b04abfb0ffc20e86dda6edc56f5de75067776371b8
2022Q1,aircraft_leasing_expense,not_separately_reported,"El estado trimestral publica rentas, depreciación y amortización agrupadas; no se reparte el total.",12,9881205641368873edd131b04abfb0ffc20e86dda6edc56f5de75067776371b8
2022Q1,adjusted_ebitdar,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,5,9881205641368873edd131b04abfb0ffc20e86dda6edc56f5de75067776371b8
2022Q1,ebitdar_margin,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,5,9881205641368873edd131b04abfb0ffc20e86dda6edc56f5de75067776371b8
2022Q1,cask_ex_fuel,different_definition_reported,Se conserva la variante reportada con su propia definición; no se etiqueta como la métrica objetivo.,5,9881205641368873edd131b04abfb0ffc20e86dda6edc56f5de75067776371b8
